CVE-2010-1535,A directory traversal vulnerability in the TRAVELbook (com_travelbook) component 1.0.1 for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12151
     https://nvd.nist.gov/vuln/detail/CVE-2010-1535
     http://www.exploit-db.com/exploits/12151",CWE-22,CVE-2010-1535,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:peter_hocherl:com_travelbook:1.0.1:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1540,A directory traversal vulnerability in index.php in the MyBlog (com_myblog) component 3.0.329 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the task parameter.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/11625
     https://nvd.nist.gov/vuln/detail/CVE-2010-1540",CWE-22,CVE-2010-1540,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:myblog:com_myblog:3.0.329:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1586,"|
    Open redirect vulnerability in red2301.html in HP System Management Homepage (SMH) 2.x.x.x allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via the RedirectUrl parameter.",regex,,,,,(?m)^(?:Location\s*?:\s*?)(?:http?://|//)(?:[a-zA-Z0-9\-_\.@]*)interact\.sh.*$',,medium,"https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2010-1586
     https://yehg.net/lab/pr0js/advisories/hp_system_management_homepage_url_redirection_abuse
     https://exchange.xforce.ibmcloud.com/vulnerabilities/58107",CWE-20,CVE-2010-1586,CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:N,4.3,cpe:2.3:a:hp:system_management_homepage:2.0.0:*:*:*:*:*:*:*,,"cve,cve2010,redirect,smh,hp"
CVE-2010-1601,A directory traversal vulnerability in the JA Comment (com_jacomment) component for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the view parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12236
     https://nvd.nist.gov/vuln/detail/CVE-2010-1601
     http://packetstormsecurity.org/1004-exploits/joomlajacomment-lfi.txt
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57848",CWE-22,CVE-2010-1601,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:joomlamart:com_jacomment:*:*:*:*:*:*:*:*,,"cve2010,joomla,lfi,edb,packetstorm,cve"
CVE-2010-1602,A directory traversal vulnerability in the ZiMB Comment (com_zimbcomment) component 0.8.1 for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12283
     https://nvd.nist.gov/vuln/detail/CVE-2010-1602
     http://packetstormsecurity.org/1004-exploits/joomlazimbcomment-lfi.txt
     http://www.vupen.com/english/advisories/2010/0932",CWE-22,CVE-2010-1602,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:zimbllc:com_zimbcomment:0.8.1:*:*:*:*:*:*:*,,"lfi,edb,packetstorm,cve,cve2010,joomla"
CVE-2010-1603,A directory traversal vulnerability in the ZiMB Core (aka ZiMBCore or com_zimbcore) component 0.1 in the ZiMB Manager collection for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12284
     https://nvd.nist.gov/vuln/detail/CVE-2010-1603
     http://www.vupen.com/english/advisories/2010/0931",CWE-22,CVE-2010-1603,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:zimbllc:com_zimbcore:0.1:*:*:*:*:*:*:*,,"cve2010,joomla,lfi,edb,cve"
CVE-2010-1607,A directory traversal vulnerability in wmi.php in the Webmoney Web Merchant Interface (aka WMI or com_wmi) component 1.5.0 for Joomla! allows remote attackers to include and execute arbitrary local files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12316
     https://nvd.nist.gov/vuln/detail/CVE-2010-1607
     https://exchange.xforce.ibmcloud.com/vulnerabilities/58032",CWE-22,CVE-2010-1607,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,6.8,cpe:2.3:a:paysyspro:com_wmi:1.5.0:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1653,A directory traversal vulnerability in graphics.php in the Graphics (com_graphics) component 1.0.6 and 1.5.0 for Joomla! allows remote attackers to include and execute arbitrary local files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12430
     https://nvd.nist.gov/vuln/detail/CVE-2010-1653
     http://packetstormsecurity.org/1004-exploits/joomlagraphics-lfi.txt
     http://www.vupen.com/english/advisories/2010/1004",CWE-22,CVE-2010-1653,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:htmlcoderhelper:com_graphics:1.0.6:*:*:*:*:*:*:*,,"edb,packetstorm,cve,cve2010,joomla,lfi"
CVE-2010-1657,A directory traversal vulnerability in the SmartSite (com_smartsite) component 1.0.0 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://nvd.nist.gov/vuln/detail/CVE-2010-1657
     https://www.exploit-db.com/exploits/12428
     http://www.vupen.com/english/advisories/2010/1006
     https://exchange.xforce.ibmcloud.com/vulnerabilities/58175",CWE-22,CVE-2010-1657,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:recly:com_smartsite:1.0.0:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1658,A directory traversal vulnerability in the Code-Garage NoticeBoard (com_noticeboard) component 1.3 for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12427
     https://nvd.nist.gov/vuln/detail/CVE-2010-1658
     http://www.vupen.com/english/advisories/2010/1007
     https://exchange.xforce.ibmcloud.com/vulnerabilities/58176",CWE-22,CVE-2010-1658,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:code-garage:com_noticeboard:1.3:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1659,A directory traversal vulnerability in the Ultimate Portfolio (com_ultimateportfolio) component 1.0 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12426
     https://nvd.nist.gov/vuln/detail/CVE-2010-1659
     http://www.exploit-db.com/exploits/12426
     http://www.vupen.com/english/advisories/2010/1008
     https://exchange.xforce.ibmcloud.com/vulnerabilities/58177",CWE-22,CVE-2010-1659,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:webkul:com_ultimateportfolio:1.0:*:*:*:*:*:*:*,,"cve2010,joomla,lfi,edb,cve"
CVE-2010-1714,A directory traversal vulnerability in the Arcade Games (com_arcadegames) component 1.0 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12168
     https://nvd.nist.gov/vuln/detail/CVE-2010-1714
     http://packetstormsecurity.org/1004-exploits/joomlaarcadegames-lfi.txt
     http://www.vupen.com/english/advisories/2010/0860
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57683",CWE-22,CVE-2010-1714,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:dev.pucit.edu.pk:com_arcadegames:1.0:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb,packetstorm"
CVE-2010-1715,A directory traversal vulnerability in the Online Examination (aka Online Exam or com_onlineexam) component 1.5.0 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12174
     https://nvd.nist.gov/vuln/detail/CVE-2010-1715
     http://packetstormsecurity.org/1004-exploits/joomlaonlineexam-lfi.txt
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57677",CWE-22,CVE-2010-1715,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,6.8,cpe:2.3:a:pucit.edu:com_onlineexam:1.5.0:*:*:*:*:*:*:*,,"joomla,lfi,edb,packetstorm,cve,cve2010"
CVE-2010-1717,A directory traversal vulnerability in the iF surfALERT (com_if_surfalert) component 1.2 for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12291
     https://nvd.nist.gov/vuln/detail/CVE-2010-1717
     http://www.vupen.com/english/advisories/2010/0924",CWE-22,CVE-2010-1717,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:if_surfalert_project:if_surfalert:1.2:*:*:*:*:joomla\!:*:*,,"cve2010,joomla,lfi,edb,cve"
CVE-2010-1718,A directory traversal vulnerability in archeryscores.php in the Archery Scores (com_archeryscores) component 1.0.6 for Joomla! allows remote attackers to include and execute arbitrary local files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12282
     https://nvd.nist.gov/vuln/detail/CVE-2010-1718",CWE-22,CVE-2010-1718,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,6.8,cpe:2.3:a:lispeltuut:com_archeryscores:1.0.6:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1719,A directory traversal vulnerability in the MT Fire Eagle (com_mtfireeagle) component 1.2 for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12233
     https://nvd.nist.gov/vuln/detail/CVE-2010-1719
     http://www.exploit-db.com/exploits/12233
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57850",CWE-22,CVE-2010-1719,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,6.8,cpe:2.3:a:moto-treks:com_mtfireeagle:1.2:*:*:*:*:*:*:*,,"lfi,edb,cve,cve2010,joomla"
CVE-2010-1722,A directory traversal vulnerability in the Online Market (com_market) component 2.x for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12177
     https://nvd.nist.gov/vuln/detail/CVE-2010-1722
     http://www.exploit-db.com/exploits/12177
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57674",CWE-22,CVE-2010-1722,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,6.8,cpe:2.3:a:dev.pucit.edu.pk:com_market:2.0:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1723,A directory traversal vulnerability in the iNetLanka Contact Us Draw Root Map (com_drawroot) component 1.1 for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12289
     https://nvd.nist.gov/vuln/detail/CVE-2010-1723
     http://www.exploit-db.com/exploits/12289
     http://www.vupen.com/english/advisories/2010/0926",CWE-22,CVE-2010-1723,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,6.8,cpe:2.3:a:joomlacomponent.inetlanka:com_drawroot:1.1:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1858,A directory traversal vulnerability in the SMEStorage (com_smestorage) component before 1.1 for Joomla! allows remote attackers to read arbitrary files via directory traversal sequences in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/11853
     https://nvd.nist.gov/vuln/detail/CVE-2010-1858
     http://packetstormsecurity.org/1003-exploits/joomlasmestorage-lfi.txt
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57108",CWE-22,CVE-2010-1723,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,5.0,cpe:2.3:a:gelembjuk:com_smestorage:*:*:*:*:*:*:*:*,,"cve2010,joomla,lfi,edb,packetstorm,cve"
CVE-2010-1870,A struts-based OGNL remote code execution vulnerability exists in ListSERV Maestro before and including version 9.0-8.,,regex,,,,"LISTSERV Maestro\s+9\.0-[123456780]'
           'LISTSERV Maestro\s+[5678]'
           'Administration Hub 9\.0-[123456780]'
           'Administration Hub [5678]'",,medium,"https://www.securifera.com/advisories/sec-2020-0001/
     https://packetstormsecurity.com/files/159643/listservmaestro-exec.txt
     https://www.exploit-db.com/exploits/14360
     http://confluence.atlassian.com/display/FISHEYE/FishEye+Security+Advisory+2010-06-16
     http://blog.o0o.nu/2010/07/cve-2010-1870-struts2xwork-remote.html",CWE-917,CVE-2010-1870,CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:P/A:N,5.0,cpe:2.3:a:apache:struts:2.0.0:*:*:*:*:*:*:*,,"packetstorm,edb,cve,cve2010,rce,listserv,ognl"
CVE-2010-1875,A directory traversal vulnerability in the Real Estate Property (com_properties) component 3.1.22-03 for Joomla! allows remote attackers to read arbitrary files and possibly have unspecified other impacts via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/11851
     https://nvd.nist.gov/vuln/detail/CVE-2010-1875
     http://www.exploit-db.com/exploits/11851
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57110",CWE-22,CVE-2010-1875,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:com-property:com_properties:3.1.22-03:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1878,A directory traversal vulnerability in the OrgChart (com_orgchart) component 1.0.0 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12317
     https://nvd.nist.gov/vuln/detail/CVE-2010-1878
     http://packetstormsecurity.org/1004-exploits/joomlaorgchart-lfi.txt
     https://exchange.xforce.ibmcloud.com/vulnerabilities/58031",CWE-22,CVE-2010-1878,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:blueflyingfish.no-ip:com_orgchart:1.0.0:*:*:*:*:*:*:*,,"lfi,edb,packetstorm,cve,cve2010,joomla"
CVE-2010-1952,A directory traversal vulnerability in the BeeHeard (com_beeheard) and BeeHeard Lite (com_beeheardlite) component 1.0 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12239
     https://nvd.nist.gov/vuln/detail/CVE-2010-1952
     http://www.exploit-db.com/exploits/12239
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57845",CWE-22,CVE-2010-1952,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:cmstactics:com_beeheard:1.0:*:*:*:*:*:*:*,,"cve,cve2010,joomla,lfi,edb"
CVE-2010-1953,A directory traversal vulnerability in the iNetLanka Multiple Map (com_multimap) component 1.0 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12288
     https://nvd.nist.gov/vuln/detail/CVE-2010-1953
     http://www.vupen.com/english/advisories/2010/0927
     http://www.exploit-db.com/exploits/12288",CWE-22,CVE-2010-1953,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:joomlacomponent.inetlanka:com_multimap:1.0:*:*:*:*:*:*:*,,"cve2010,joomla,lfi,edb,cve"
CVE-2010-1954,A directory traversal vulnerability in the iNetLanka Multiple root (com_multiroot) component 1.0 and 1.1 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12287
     https://nvd.nist.gov/vuln/detail/CVE-2010-1954
     http://www.exploit-db.com/exploits/12287
     http://www.vupen.com/english/advisories/2010/0928",CWE-22,CVE-2010-1954,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:joomlacomponent.inetlanka:com_multiroot:1.0:*:*:*:*:*:*:*,,"edb,cve,cve2010,joomla,lfi"
CVE-2010-1955,A directory traversal vulnerability in the Deluxe Blog Factory (com_blogfactory) component 1.1.2 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12238
     https://nvd.nist.gov/vuln/detail/CVE-2010-1955
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57846",CWE-22,CVE-2010-1955,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:thefactory:com_blogfactory:1.1.2:*:*:*:*:*:*:*,,"lfi,edb,cve,cve2010,joomla"
CVE-2010-1956,A directory traversal vulnerability in the Gadget Factory (com_gadgetfactory) component 1.0.0 and 1.5.0 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12285
     https://nvd.nist.gov/vuln/detail/CVE-2010-1956
     http://www.exploit-db.com/exploits/12285
     http://www.thefactory.ro/all-thefactory-products/gadget-factory-for-joomla-1.5.x/detailed-product-flyer.html
     http://www.vupen.com/english/advisories/2010/0930",CWE-22,CVE-2010-1956,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:thefactory:com_gadgetfactory:1.0.0:*:*:*:*:*:*:*,,"joomla,lfi,edb,cve,cve2010"
CVE-2010-1957,A directory traversal vulnerability in the Love Factory (com_lovefactory) component 1.3.4 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12235
     https://nvd.nist.gov/vuln/detail/CVE-2010-1957
     http://packetstormsecurity.org/1004-exploits/joomlalovefactory-lfi.txt
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57849",CWE-22,CVE-2010-1957,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:thefactory:com_lovefactory:1.3.4:*:*:*:*:*:*:*,,"lfi,edb,packetstorm,cve,cve2010,joomla"
CVE-2010-1977,A directory traversal vulnerability in the J!WHMCS Integrator (com_jwhmcs) component 1.5.0 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/12083
     https://nvd.nist.gov/vuln/detail/CVE-2010-1977",CWE-22,CVE-2010-1977,CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,cpe:2.3:a:gohigheris:com_jwhmcs:1.5.0:*:*:*:*:*:*:*,,"edb,cve,cve2010,joomla,lfi"
CVE-2010-1979,A directory traversal vulnerability in the Affiliate Datafeeds (com_datafeeds) component build 880 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter to index.php.,"regex
status",,,,,"root:.*:0:0:
200",,medium,"https://www.exploit-db.com/exploits/12088
     https://nvd.nist.gov/vuln/detail/CVE-2010-1979
     http://www.exploit-db.com/exploits/12088
     https://exchange.xforce.ibmcloud.com/vulnerabilities/57570",CWE-22,CVE-2010-1979,CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,6.8,cpe:2.3:a:affiliatefeeds:com_datafeeds:build_880:*:*:*:*:*:*:*,,"edb,cve,cve2010,joomla,lfi"
